a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 0.6.55-3
acl 2.3.1-1
acpi 1.7-3
acpid 2.0.33-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adwaita-icon-theme 40.1.1-1
alacritty 0.9.0-1
alsa-card-profiles 1:0.3.37-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.5.1-3
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
amtk 5.3.1-1
android-tools 31.0.2-1
android-udev 20210501-1
aom 3.1.2-2
apparmor 3.0.3-1
appimagelauncher 2.2.0-6
appstream 0.14.5-2
appstream-glib 0.7.18-3
appstream-qt 0.14.5-2
archlinux-appstream-data 20210921-1
archlinux-keyring 20210902-1
arcus 4.11.0-1
argon2 20190702-3
ark 21.08.1-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attica 5.86.0-1
attr 2.5.1-1
audacity 1:2.4.1-4
audiofile 0.3.6-6
audit 3.0.5-1
autoconf 2.71-1
automake 1.16.4-1
avahi 0.8+22+gfd482a7-1
b43-fwcutter 019-3
babl 0.1.88-2
baloo 5.86.0-1
baloo-widgets 21.08.1-1
bash 5.1.008-3
bashrc-manjaro 5.1.008-3
bc 1.07.1-4
binutils 2.36.1-3
bison 3.7.6-1
blas 3.10.0-1
bluedevil 1:5.22.5-1
bluez 5.61-1
bluez-libs 5.61-1
bluez-qt 5.86.0-1
boost-libs 1.76.0-1
botan 2.18.1-1
brave-browser 1.29.81-1
breath2-icon-themes 1.0.18-5
breath2-wallpaper 1.0.18-5
breeze 5.22.5-1
breeze-gtk 5.22.5-1
breeze-icons 5.86.0-1
bridge-utils 1.7.1-1
brltty 6.3-4
brotli 1.0.9-4
btrfs-progs 5.14.1-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.17.2-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.70-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303-1
cblas 3.10.0-1
cdparanoia 10.2-8
cdrdao 1.2.4-2
